wconfid,pctid,x,y,z,mag
1,20,0.965,-0.152,-0.148,0.988045039
1,20,0.992,0.008,-0.129,1.000384426
1,20,0.996,-0.051,-0.121,1.004618335
1,20,0.969,-0.141,-0.148,0.990326209
1,20,0.996,0.094,-0.141,1.010313318
1,20,1.027,-0.031,-0.133,1.036040057
1,20,0.977,-0.09,-0.145,0.991793325
1,20,0.996,0.109,-0.133,1.010735376
1,20,1.047,-0.016,-0.113,1.053201785
1,20,0.973,-0.133,-0.148,0.993137453
1,20,0.988,0.055,-0.129,0.997902801
1,20,1.02,0.008,-0.129,1.028156117
1,20,1.004,0.148,-0.121,1.022037671
1,20,1.023,0.078,-0.121,1.033079861
1,20,0.996,-0.031,-0.137,1.005855854
1,20,0.973,-0.086,-0.113,0.983307683
1,20,1.031,0.082,-0.121,1.041309752
1,20,0.984,-0.043,-0.152,0.996598716
1,20,0.973,-0.078,-0.125,0.984092475
1,20,1.027,0.074,-0.125,1.037222252
1,20,0.988,-0.008,-0.141,0.998042584
1,20,0.98,-0.094,-0.125,0.992401632
1,20,1.027,0.105,-0.121,1.039420512
1,20,0.977,0.012,-0.145,0.987774266
1,20,1.023,0.09,-0.125,1.034530812
1,20,0.969,0.102,-0.105,0.979994898
1,20,0.98,-0.02,-0.117,0.987162094
1,20,0.984,0.008,-0.125,0.991940018
1,20,0.973,-0.043,-0.117,0.980952089
1,20,1.004,0,-0.125,1.011751452
1,20,0.973,-0.137,-0.156,0.994904015
1,20,0.973,-0.039,-0.121,0.981270095
1,20,1.016,0.012,-0.133,1.024738503
1,20,0.996,-0.125,-0.152,1.015256125
1,20,0.961,-0.086,-0.113,0.971435021
1,20,1.004,0.035,-0.129,1.012858332
1,20,0.98,-0.082,-0.152,0.995102005
1,20,0.973,-0.078,-0.121,0.983592395
1,20,1.027,0.066,-0.121,1.036207508
1,20,0.992,-0.063,-0.145,1.00451879
1,20,0.988,-0.051,-0.125,0.997181027
1,20,1.023,0.078,-0.125,1.033555998
1,20,1.004,0.109,-0.145,1.02025585
1,20,1.031,0.117,-0.121,1.044648745
1,20,0.992,0.016,-0.137,1.001543309
1,20,0.98,-0.059,-0.125,0.989699955
1,20,0.973,-0.152,-0.152,0.996462242
1,20,1.004,0.074,-0.137,1.016002461
1,20,1.012,-0.027,-0.137,1.02158798
1,20,0.965,-0.133,-0.148,0.985300969
1,20,1.004,0.086,-0.125,1.015399921
1,20,1.031,-0.051,-0.133,1.040793447
1,20,0.996,-0.031,-0.141,1.006408466
1,20,0.996,0.086,-0.129,1.007994544
1,20,1.023,-0.02,-0.121,1.030325191
1,20,0.957,-0.152,-0.156,0.981472873
1,20,1.004,0.063,-0.121,1.013225543
1,20,1.023,0.004,-0.133,1.031617177
1,20,1,0.141,-0.117,1.016646448
1,20,1.012,0.063,-0.125,1.021634964
1,20,0.988,-0.059,-0.145,1.000324947
1,20,0.977,-0.063,-0.121,0.986478079
1,20,1.023,0.074,-0.129,1.033753355
1,20,0.988,-0.051,-0.156,1.001539315
1,20,0.977,-0.094,-0.109,0.987545442
1,20,1.02,0.051,-0.125,1.028895524
1,20,0.984,-0.031,-0.148,0.995550601
1,20,0.977,-0.109,-0.125,0.990976791
1,20,1.031,0.098,-0.129,1.043650325
1,20,0.996,-0.004,-0.145,1.006507327
1,20,0.98,-0.082,-0.121,0.990840552
1,20,1.039,0.117,-0.121,1.052545011
1,20,0.973,0.023,-0.137,0.982866725
1,20,1.016,0.016,-0.125,1.023785622
1,20,0.992,0.09,-0.133,1.004914424
1,20,1,-0.023,-0.148,1.011154291
1,20,0.957,-0.148,-0.113,0.974947178
1,20,0.988,0.043,-0.125,0.996803892
1,20,1.004,-0.004,-0.137,1.013311897
1,20,0.965,-0.137,-0.109,0.980752262
1,20,1.008,0.141,-0.125,1.025460872
1,20,1.008,-0.012,-0.121,1.015307343
1,20,0.969,-0.121,-0.121,0.983993394
1,20,1.008,0.148,-0.121,1.025967348
1,20,1.016,0.031,-0.129,1.024625785
1,20,1.016,-0.004,-0.129,1.024164538
1,20,0.965,-0.07,-0.117,0.974584014
1,20,1.02,0.047,-0.125,1.028705011
1,20,0.984,0.141,-0.152,1.005604793
1,20,1,0.055,-0.125,1.009281923
1,20,0.984,-0.008,-0.137,0.993523528
1,20,0.984,0.121,-0.117,0.998291541
1,20,0.973,-0.137,-0.137,0.992102313
1,20,1,-0.008,-0.129,1.008317906
1,20,0.98,0.082,-0.125,0.991336976
1,20,0.969,-0.129,-0.137,0.987102325
1,20,0.988,0.047,-0.137,0.998559963
1,20,1.02,-0.043,-0.129,1.029023809
1,20,0.969,-0.113,-0.141,0.985703302
1,20,1.004,0.063,-0.133,1.014728535
1,20,1.035,-0.063,-0.129,1.044909087
1,20,0.973,-0.094,-0.141,0.987646698
1,20,0.996,0.066,-0.137,1.007542059
1,20,1.031,-0.035,-0.133,1.040132203
1,20,0.961,-0.156,-0.152,0.985373533
1,20,1.004,0.059,-0.133,1.014488048
1,20,1.027,0.035,-0.125,1.035171
1,20,1,0.141,-0.125,1.017598153
1,20,1.012,0.043,-0.125,1.020596884
1,20,0.988,-0.07,-0.148,1.001472915
1,20,0.977,-0.063,-0.117,0.985995436
1,20,1.016,0.063,-0.125,1.025597387
1,20,0.977,-0.09,-0.156,0.993461122
1,20,0.977,-0.074,-0.125,0.987739844
1,20,1.027,0.059,-0.125,1.036260102
1,20,0.98,-0.063,-0.145,0.992670137
1,20,0.969,-0.102,-0.121,0.981838072
1,20,1.008,0.066,-0.125,1.017862957
1,20,0.977,-0.035,-0.145,0.988321304
1,20,0.98,-0.09,-0.121,0.991534669
1,20,1.039,0.109,-0.117,1.051233085
1,20,0.988,-0.004,-0.137,0.997461277
1,20,0.98,-0.066,-0.125,0.990141909
1,20,1.035,0.098,-0.117,1.046192143
1,20,0.973,0.02,-0.141,0.983366666
1,20,1.02,0.082,-0.125,1.030897182
1,20,0.988,0.078,-0.129,0.99943434
1,20,0.996,-0.031,-0.133,1.005318855
1,20,0.957,-0.156,-0.117,0.976664733
1,20,1.012,0.066,-0.125,1.021824349
1,20,1.008,-0.02,-0.129,1.016417729
1,20,0.961,-0.133,-0.152,0.981994908
1,20,1.004,0.141,-0.129,1.022026418
1,20,1,0.016,-0.125,1.007909222
1,20,0.988,0.121,-0.156,1.007532133
1,20,1.027,0.07,-0.113,1.035566512
1,20,0.973,-0.059,-0.156,0.987190964
1,20,0.984,0.074,-0.117,0.993690596
1,20,0.988,-0.066,-0.137,0.999634433
1,20,0.98,-0.031,-0.148,0.991597196
1,20,0.965,0.121,-0.098,0.977481458
1,20,0.992,-0.063,-0.129,1.002334276
1,20,0.992,-0.004,-0.141,1.001978543
1,20,0.973,-0.09,-0.121,0.984616677
1,20,1.035,0.117,-0.121,1.048596681
1,20,1.008,0.004,-0.133,1.016744314
1,20,1.035,-0.074,-0.129,1.045629954
1,20,0.961,-0.137,-0.148,0.981933806
1,20,1,0.043,-0.141,1.010806609
1,20,0.965,-0.031,-0.129,0.974077512
1,20,0.969,-0.129,-0.152,0.989295709
1,20,0.992,0.078,-0.133,1.003910853
1,20,1.039,0.082,-0.125,1.049699957
1,20,1.012,0.043,-0.133,1.021607557
1,20,1,0.016,-0.117,1.00694836
1,20,0.953,-0.113,-0.141,0.969978866
1,20,0.965,-0.078,-0.125,0.976183384
1,20,1.004,-0.008,-0.125,1.01178308
1,20,0.977,0.039,-0.117,0.984753269
1,20,0.965,-0.086,-0.117,0.97586372
1,20,1.02,0.059,-0.117,1.028382225
1,20,0.992,-0.02,-0.148,1.003178947
1,20,0.965,-0.082,-0.129,0.977031218
1,20,1.031,0.066,-0.117,1.039714384
1,20,0.984,-0.07,-0.16,0.999377806
1,20,0.98,-0.031,-0.125,0.988426022
1,20,1.027,0.078,-0.125,1.037515301
1,20,0.98,-0.047,-0.145,0.991783242
1,20,0.98,-0.09,-0.125,0.992030745
1,20,1.02,0.051,-0.125,1.028895524
1,20,0.98,-0.016,-0.148,0.991241646
1,20,0.965,-0.102,-0.113,0.976932956
1,20,1.008,0.098,-0.121,1.019955391
1,20,0.98,0.051,-0.145,0.991980847
1,20,1.039,0.102,-0.125,1.051451378
1,20,1.004,0.094,-0.133,1.017123886
1,20,0.992,-0.039,-0.129,1.001112381
1,20,0.969,-0.109,-0.148,0.986278865
1,20,1,0.109,-0.125,1.013659706
1,20,1.008,-0.027,-0.125,1.016079721
1,20,0.973,-0.105,-0.141,0.988754267
1,20,0.992,0.098,-0.129,1.005141284
1,20,1.023,-0.004,-0.125,1.03061632
1,20,0.957,-0.141,-0.156,0.979829577
1,20,0.992,0.039,-0.125,1.000604817
1,20,1.012,0.02,-0.129,1.020384731
1,20,1.031,0.133,-0.145,1.049607069
1,20,1.008,0.094,-0.125,1.020061273
1,20,0.992,0.004,-0.145,1.002549251
1,20,1.027,-0.078,-0.133,1.038509509
1,20,0.984,-0.094,-0.145,0.999058056
1,20,0.988,-0.027,-0.145,0.998948447
1,20,1.02,-0.035,-0.109,1.026404404
1,20,1.031,0.094,-0.125,1.042795282
1,20,0.992,-0.004,-0.141,1.001978543
1,20,0.98,-0.094,-0.117,0.991425741
1,20,1.031,0.047,-0.133,1.040605112
1,20,0.988,0.027,-0.141,0.998375681
1,20,1.047,0.102,-0.133,1.06033108
1,20,0.996,0.121,-0.129,1.011581929
1,20,1.004,-0.004,-0.137,1.013311897
1,20,0.973,0.082,-0.125,0.984417594
1,20,0.973,-0.063,-0.121,0.982516667
1,20,1.012,0.004,-0.133,1.020710047
1,20,0.977,-0.082,-0.137,0.989960605
1,20,0.973,-0.07,-0.121,0.982990336
1,20,1.008,0.031,-0.125,1.016193879
1,20,0.988,-0.09,-0.148,1.00306929
1,20,0.969,-0.055,-0.125,0.978576006
1,20,1.016,0.043,-0.125,1.024563322
1,20,0.988,-0.098,-0.156,1.005029353
1,20,0.957,-0.043,-0.125,0.966086435
1,20,1.031,0.059,-0.125,1.040224495
1,20,0.98,-0.066,-0.156,0.994531045
1,20,0.977,-0.094,-0.113,0.987994939
1,20,1.023,0.012,-0.137,1.0322025
1,20,0.984,-0.035,-0.145,0.995241679
1,20,0.938,-0.102,-0.105,0.949353991
1,20,1.023,0.098,-0.113,1.033877169
1,20,0.984,0.039,-0.141,0.994815561
1,20,1.027,0.102,-0.117,1.038663564
1,20,1.004,0.086,-0.137,1.016946901
1,20,0.988,-0.047,-0.121,0.996490843
1,20,0.98,-0.082,-0.121,0.990840552
1,20,1.004,0.09,-0.133,1.016762017
1,20,1,-0.039,-0.129,1.009040138
1,20,0.969,-0.125,-0.145,0.987730226
1,20,0.996,0.086,-0.141,1.009600416
1,20,1.004,-0.008,-0.129,1.012285039
1,20,0.957,-0.145,-0.156,0.980413178
1,20,1.008,0.059,-0.125,1.017433044
1,20,1.012,0.008,-0.121,1.019239422
1,20,1.023,0.125,-0.156,1.04234831
1,20,1.008,0.082,-0.121,1.018542586
1,20,0.973,0.008,-0.117,0.980041836
1,20,0.977,-0.082,-0.121,0.987873474
1,20,0.984,-0.09,-0.137,0.997559522
1,20,0.988,-0.027,-0.145,0.998948447
1,20,0.98,-0.035,-0.121,0.988061739
1,20,1.035,0.098,-0.125,1.047116994
1,20,0.992,-0.008,-0.141,1.002002495
1,20,0.984,-0.094,-0.121,0.995857922
1,20,1.027,0.066,-0.125,1.036682208
1,20,0.992,0.023,-0.145,1.002805066
1,20,1.051,-0.078,-0.133,1.0622495
1,20,0.977,-0.113,-0.145,0.994144356
1,20,0.988,0.043,-0.137,0.998379687
1,20,1.031,0.082,-0.125,1.041782127
1,20,1,0.137,-0.113,1.015646592
1,20,0.977,0.027,-0.137,0.986928062
1,20,0.969,-0.105,-0.145,0.985398904
1,20,0.969,-0.07,-0.121,0.979031154
1,20,1.012,0.023,-0.129,1.020447941
1,20,0.961,-0.004,-0.129,0.969627764
1,20,0.969,-0.066,-0.125,0.97925584
1,20,1.027,0.039,-0.125,1.035313962
1,20,0.961,-0.105,-0.148,0.977982617
1,20,0.977,-0.031,-0.125,0.985451673
1,20,1.023,0.059,-0.113,1.030911732
1,20,0.98,-0.078,-0.148,0.994177047
1,20,0.98,-0.086,-0.121,0.9911796
1,20,1.012,0.055,-0.125,1.021172855
1,20,0.988,-0.051,-0.16,1.002170145
1,20,0.973,-0.105,-0.121,0.986100908
1,20,0.957,0.051,-0.129,0.967001034
1,20,0.977,-0.016,-0.141,0.987251741
1,20,0.973,-0.098,-0.125,0.985879303
1,20,1.039,0.113,-0.113,1.051217865
1,20,1.008,0.02,-0.117,1.014964531
1,20,1.039,0.098,-0.121,1.050602684
1,20,1.004,0.086,-0.125,1.015399921
1,20,1.008,-0.047,-0.129,1.01730723
1,20,0.969,-0.074,-0.133,0.980880217
1,20,0.996,0.102,-0.133,1.010004455
1,20,1.008,-0.008,-0.129,1.016252429
1,20,0.969,-0.129,-0.145,0.988244403
1,20,0.996,0.094,-0.133,1.009227923
1,20,1.027,0,-0.129,1.035070046
1,20,0.988,0.148,-0.152,1.010520658
1,20,1.008,0.063,-0.125,1.017672835
1,20,0.977,-0.059,-0.148,0.989906056
1,20,0.973,0.145,-0.129,0.992166821
1,20,0.984,-0.082,-0.125,0.995291415
1,20,0.988,0.012,-0.133,0.996983952
1,20,1.039,-0.086,-0.125,1.05002
1,20,0.977,-0.105,-0.141,0.992690788
1,20,0.984,-0.012,-0.141,0.994123232
1,20,0.984,-0.039,-0.125,0.992674166
1,20,1.039,0.098,-0.117,1.050149513
1,20,0.984,0.023,-0.145,0.994891954
1,20,1.027,-0.066,-0.137,1.038197476
1,20,0.98,-0.098,-0.137,0.994370655
1,20,0.992,0.043,-0.137,1.002338266
1,20,1.035,0.105,-0.121,1.047325642
1,20,1.051,0.02,-0.117,1.057681427
1,20,0.992,-0.004,-0.117,0.998883877
1,20,0.965,0.086,-0.121,0.976351371
1,20,0.965,-0.066,-0.129,0.975818631
1,20,1,-0.008,-0.137,1.009372577
1,20,0.973,0.063,-0.129,0.983533934
1,20,0.961,-0.074,-0.117,0.970920182
1,20,1.02,0.035,-0.125,1.028226629
1,20,0.973,-0.066,-0.156,0.987634042
1,20,0.969,-0.078,-0.117,0.979149631
1,20,1.023,0.063,-0.125,1.032532324
1,20,0.988,-0.051,-0.145,0.999884993
1,20,0.98,-0.066,-0.121,0.989644886
1,20,0.988,0.063,-0.133,0.998900395
1,20,0.988,-0.059,-0.141,0.999752969
1,20,0.988,-0.023,-0.121,0.995647528
1,20,1.016,0.082,-0.125,1.026939628
1,20,0.988,-0.039,-0.145,0.999344785
1,20,0.977,-0.094,-0.125,0.989439235
1,20,1.016,0.063,-0.121,1.025117554
1,20,0.973,0.086,-0.137,0.986353892
1,20,1.055,0.125,-0.113,1.068372126
1,20,0.996,0.066,-0.133,1.007005958
1,20,0.996,-0.035,-0.125,1.004423218
1,20,0.965,-0.152,-0.121,0.984362738
1,20,0.992,0.109,-0.137,1.007330135
1,20,0.984,-0.012,-0.137,0.993563788
1,20,0.965,-0.129,-0.148,0.984769008
1,20,0.984,0.121,-0.137,1.000832653
1,20,0.996,-0.016,-0.121,1.003450547
1,20,0.996,-0.055,-0.148,1.008436909
1,20,1.008,0.125,-0.133,1.024391527
1,20,1.023,0.008,-0.129,1.031132387
1,20,0.996,0.141,-0.145,1.016327703
1,20,1.027,0.039,-0.125,1.035313962
1,20,0.973,-0.074,-0.156,0.988200891
1,20,0.973,-0.102,-0.121,0.985785981
1,20,0.984,0.055,-0.129,0.993942654
1,20,0.98,-0.043,-0.148,0.992044858
1,20,0.98,-0.09,-0.117,0.991054489
1,20,1.035,0.098,-0.125,1.047116994
1,20,0.988,0.008,-0.145,0.998615542
1,20,1.027,-0.078,-0.117,1.036581883
1,20,0.984,-0.125,-0.152,1.003486422
1,20,0.996,0,-0.145,1.006499379
1,20,1.027,0.066,-0.125,1.036682208
1,20,1,0.082,-0.133,1.012132896
1,20,1,-0.043,-0.133,1.009721744
1,20,0.977,0.066,-0.125,0.987172731
1,20,0.969,-0.008,-0.129,0.97758171
1,20,1.004,-0.035,-0.129,1.012858332
1,20,0.957,0.102,-0.125,0.970503993
1,20,0.984,-0.008,-0.117,0.990963672
1,20,1.012,-0.008,-0.125,1.019722021
1,20,0.957,0.082,-0.125,0.968606215
1,20,0.977,-0.063,-0.117,0.985995436
1,20,1.004,0.008,-0.121,1.011296692
1,20,0.996,-0.117,-0.16,1.01553188
1,20,0.965,-0.09,-0.113,0.975753043
1,20,0.969,0.012,-0.117,0.976111674
1,20,0.988,-0.094,-0.145,1.002998006
1,20,0.965,-0.086,-0.121,0.976351371
1,20,1.023,0.051,-0.129,1.032361855
1,20,1.004,-0.035,-0.133,1.013375547
1,20,0.965,-0.078,-0.125,0.976183384
1,20,1.035,0.074,-0.125,1.045144009
1,20,0.977,0.109,-0.141,0.993121845
1,20,1.035,0.078,-0.129,1.045920647
1,20,0.984,0.02,-0.141,0.99425198
1,20,0.988,-0.082,-0.125,0.999246216
1,20,0.984,-0.055,-0.125,0.993431427
1,20,0.988,0.039,-0.141,0.998772246
1,20,1.043,-0.078,-0.164,1.058692118
1,20,0.965,-0.137,-0.148,0.985848873
1,20,1,0.039,-0.137,1.010094055
1,20,0.984,-0.047,-0.125,0.993020644
1,20,0.957,-0.164,-0.148,0.982165465
1,20,0.996,0.066,-0.133,1.007005958
1,20,1.023,-0.031,-0.125,1.031074682
1,20,0.953,-0.148,-0.152,0.976328326
1,20,1,0.125,-0.129,1.016004921
1,20,0.965,-0.012,-0.141,0.97532046
1,20,0.965,-0.133,-0.156,0.986534338
1,20,0.992,0.141,-0.125,1.00973759
1,20,1.016,0.008,-0.129,1.024187971
1,20,0.992,0.082,-0.113,1.001776921
1,20,1.012,0.063,-0.125,1.021634964
1,20,0.98,-0.086,-0.148,0.99483667
1,20,0.98,-0.07,-0.117,0.98943873
1,20,1.023,0.063,-0.129,1.033024201
1,20,0.977,-0.047,-0.156,0.990491797
1,20,0.98,-0.105,-0.125,0.9935039
1,20,1.016,0.016,-0.133,1.02479315
1,20,0.988,-0.023,-0.152,0.999888494
1,20,0.977,-0.102,-0.125,0.990231286
1,20,1.039,0.098,-0.125,1.051070882
1,20,0.977,-0.004,-0.145,0.987709471
1,20,0.984,-0.078,-0.117,0.993996479
1,20,1.047,0.109,-0.121,1.059590015
1,20,0.992,0.012,-0.129,1.00042441
1,20,1.027,0.086,-0.117,1.037214539
1,20,0.984,0.109,-0.113,0.996446687
1,20,0.992,-0.027,-0.117,0.999240712
1,20,0.969,-0.051,-0.121,0.977856329
1,20,1,0.113,-0.129,1.014598443
1,20,0.996,-0.008,-0.125,1.003845108
1,20,0.973,-0.125,-0.121,0.988430574
1,20,1.008,0.102,-0.129,1.021327078
1,20,1.008,0,-0.121,1.015236426
1,20,0.996,-0.137,-0.16,1.01802996
1,20,1.016,-0.031,-0.133,1.025137064
1,20,1.016,0.031,-0.125,1.024129875
1,20,0.984,0.148,-0.156,1.007221922
1,20,1.031,0.094,-0.121,1.042323366
1,20,0.98,-0.012,-0.129,0.988526681
1,20,0.98,0.117,-0.117,0.993870213
1,20,0.977,-0.117,-0.125,0.991888603
1,20,1,-0.008,-0.141,1.009923264
1,20,0.984,0.094,-0.125,0.996351845
1,20,0.977,-0.129,-0.145,0.996089855
1,20,1.004,0.027,-0.141,1.014212009
1,20,0.996,-0.027,-0.125,1.004176279
1,20,0.969,-0.133,-0.137,0.987633029
1,20,1,0.055,-0.145,1.011953556
1,20,1.039,-0.059,-0.121,1.04768459
1,20,0.98,-0.105,-0.145,0.996217848
1,20,0.988,0.078,-0.133,0.999958499
1,20,1.039,-0.043,-0.129,1.047860201
1,20,0.98,-0.023,-0.133,0.989251232
1,20,0.988,0.094,-0.125,1.000302454
1,20,1.047,-0.039,-0.102,1.052679438
1,20,0.965,-0.133,-0.156,0.986534338
1,20,0.98,0.078,-0.125,0.991014127
1,20,1,0.043,-0.105,1.006416415
1,20,1.004,0.156,-0.113,1.022311596
1,20,1.008,0.047,-0.121,1.016323767
1,20,0.977,-0.074,-0.16,0.99277641
1,20,0.965,-0.09,-0.121,0.976711831
1,20,1.047,0.078,-0.121,1.056850983
1,20,0.984,-0.004,-0.145,0.994634104
1,20,0.965,-0.082,-0.117,0.975519349
1,20,1.035,0.102,-0.117,1.046574412
1,20,0.984,-0.023,-0.141,0.994316851
1,20,0.98,-0.059,-0.117,0.988721397
1,20,1.039,0.113,-0.117,1.051655362
1,20,0.984,-0.012,-0.137,0.993563788
1,20,1.023,-0.027,-0.141,1.033024201
1,20,1.027,0.109,-0.121,1.039832198
1,20,0.969,0.02,-0.137,0.978841152
1,20,1.039,0.117,-0.121,1.052545011
1,20,1.008,0.059,-0.133,1.018446857
1,20,1,-0.031,-0.129,1.008762608
1,20,0.957,-0.16,-0.125,0.978301589
1,20,1,0.066,-0.125,1.009941087
1,20,1.008,-0.008,-0.125,1.01575243
1,20,0.961,-0.145,-0.129,0.980401448
1,20,0.996,0.145,-0.125,1.014231729
1,20,1.012,0,-0.121,1.019208026
1,20,0.988,0.133,-0.145,1.007401608
1,20,1.035,0.07,-0.141,1.046903052
1,20,0.984,-0.035,-0.148,0.995683183
1,20,0.98,0.113,-0.125,0.994381215
1,20,0.98,-0.082,-0.117,0.990360036
1,20,0.988,-0.035,-0.145,0.999196677
1,20,0.992,0.031,-0.137,1.001895204
1,20,0.973,-0.098,-0.152,0.989665095
1,20,0.992,-0.012,-0.148,1.003051345
1,20,0.977,-0.09,-0.109,0.987172731
1,20,1.039,0.074,-0.121,1.048636257
1,20,0.988,0.012,-0.141,0.998082662
1,20,1.051,-0.094,-0.125,1.062573292
1,20,0.996,-0.051,-0.133,1.006134186
1,20,0.984,0.035,-0.137,0.99410764
1,20,1.098,-0.063,-0.156,1.110814566
1,20,0.969,-0.148,-0.137,0.989764618
1,20,1,0.043,-0.141,1.010806609
1,20,1.023,-0.047,-0.125,1.031679698
1,20,0.957,-0.156,-0.152,0.981472873
1,20,1.004,0.035,-0.125,1.012356657
1,20,1.035,0.066,-0.125,1.04460806
1,20,1.008,0.152,-0.121,1.026551996
1,20,1.027,0.031,-0.121,1.034568026
1,20,0.977,-0.031,-0.152,0.989239102
1,20,0.961,-0.074,-0.113,0.970446289
1,20,1.031,0.051,-0.129,1.040289863
1,20,0.977,-0.07,-0.141,0.98960093
1,20,0.977,-0.066,-0.109,0.985274581
1,20,1.059,0.047,-0.137,1.068858737
1,20,0.988,-0.055,-0.148,1.000536356
1,20,1,-0.027,-0.125,1.008143839
1,20,1.016,0.082,-0.125,1.026939628
1,20,0.984,-0.043,-0.156,0.997216626
1,20,0.969,-0.09,-0.125,0.981165633
1,20,1.023,0.07,-0.121,1.032506659
1,20,0.977,-0.027,-0.145,0.988070342
1,20,0.98,-0.098,-0.129,0.993300055
1,20,1.023,0.016,-0.137,1.032256751
1,20,0.965,0.066,-0.145,0.97806237
1,20,1.055,0.117,-0.121,1.068342174
1,20,0.992,0.098,-0.125,1.004635755
1,20,0.992,-0.023,-0.129,1.00061681
1,20,0.961,-0.133,-0.121,0.977676327
1,20,0.996,0.102,-0.125,1.00898216
1,20,0.961,0.008,-0.121,0.968620669
1,20,0.996,0.121,-0.152,1.014771403
1,20,1.016,0.047,-0.125,1.024738991
1,20,0.969,-0.105,-0.156,0.987077505
1,20,0.973,0.078,-0.133,0.985140599
1,20,0.996,-0.043,-0.109,1.002868885
1,20,0.969,-0.082,-0.152,0.984270796
1,20,0.98,0.102,-0.121,0.992695825
1,20,1,-0.055,-0.141,1.011388155
1,20,0.98,-0.059,-0.152,0.993471187
1,20,0.977,-0.094,-0.109,0.987545442
1,20,1.016,0.02,-0.129,1.02435199
1,20,0.977,-0.027,-0.148,0.988515048
1,20,0.969,-0.098,-0.105,0.979586648
1,20,1.02,0.082,-0.129,1.031389839
1,20,0.98,-0.008,-0.145,0.990701267
1,20,0.98,-0.09,-0.117,0.991054489
1,20,1.035,0.121,-0.113,1.048157908
1,20,0.996,0.02,-0.129,1.004518293
1,20,1.043,-0.074,-0.125,1.053066949
1,20,0.965,-0.148,-0.152,0.988045039
1,20,0.992,0.027,-0.133,1.001240231
1,20,1.039,0.074,-0.121,1.048636257
1,20,1.004,0.113,-0.125,1.018042239
1,20,1.012,-0.012,-0.125,1.019761247
1,20,0.969,0.004,-0.129,0.977557159
